n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,5,0.0,cosine,75,20,euclidean,eom,True,132,0.096,0.6023,0.6771,0.5837362637362637,0.5822359204258895,0.6519635742743314,0.6059785861454948,0.6178499190052975
15,5,0.0,cosine,100,5,euclidean,eom,True,111,0.131,0.6423,0.6661,0.7375824175824176,0.6943121322499299,0.6206602162777463,0.6841849220366979,0.6791213169300819
15,5,0.0,cosine,100,10,euclidean,eom,True,109,0.1489,0.6367,0.6791,0.8162637362637363,0.6786214625945645,0.657655093910074,0.7175134309227916,0.7369594150869052
15,5,0.0,cosine,100,20,euclidean,eom,True,108,0.1319,0.637,0.6805,0.7415384615384615,0.6794620341832447,0.6616391576550938,0.6942132177922667,0.7015888095967777
15,5,0.0,cosine,150,5,euclidean,eom,True,85,0.1249,0.6529,0.6841,0.7107692307692308,0.7240123283833009,0.671883892999431,0.7022218173839875,0.691326561884331
15,5,0.0,cosine,150,10,euclidean,eom,True,85,0.1461,0.6671,0.6989,0.8039560439560439,0.7637993835808351,0.7140011383039271,0.7605855219469353,0.7589785911299856
15,5,0.0,cosine,150,20,euclidean,eom,True,82,0.1332,0.6695,0.6953,0.7472527472527473,0.7705239562902775,0.7037564029595903,0.7405110355008717,0.7255045751061688
15,5,0.0,cosine,200,5,euclidean,eom,True,34,0.0161,0.5206,0.7626,0.23252747252747252,0.3533202577752871,0.8952760387023334,0.4937079230016977,0.563901755614903
15,5,0.0,cosine,200,10,euclidean,eom,True,36,0.021,0.5417,0.7668,0.2540659340659341,0.4124404595124684,0.9072282299373934,0.5245782078385987,0.5806470820016637
15,5,0.0,cosine,200,20,euclidean,eom,True,55,0.1239,0.6527,0.7415,0.7063736263736264,0.7234519473241804,0.8352305065452477,0.7550186934143515,0.770802066459437
15,10,0.0,cosine,10,5,euclidean,eom,True,948,0.1033,0.7153,0.4721,0.6158241758241758,0.8988512188288038,0.06858281161070008,0.5277527354212266,0.34220349371743797
15,10,0.0,cosine,10,10,euclidean,eom,True,695,0.0987,0.6717,0.5209,0.5956043956043956,0.7766881479405996,0.20745589072282306,0.526582811422606,0.40153014316360935
15,10,0.0,cosine,10,20,euclidean,eom,True,417,0.1014,0.6199,0.5784,0.6074725274725274,0.6315494536284675,0.3710870802504269,0.5367030204504739,0.4892798038614772
15,10,0.0,cosine,20,5,euclidean,eom,True,496,0.0974,0.6234,0.5633,0.5898901098901098,0.6413561221630708,0.3281161070005692,0.51978744635125,0.45900310844533954
15,10,0.0,cosine,20,10,euclidean,eom,True,438,0.1004,0.6142,0.5786,0.603076923076923,0.6155785934435416,0.3716562322140011,0.5301039162448219,0.48736657764546204
15,10,0.0,cosine,20,20,euclidean,eom,True,357,0.0899,0.5924,0.6128,0.5569230769230769,0.5544970579994398,0.4689812179852021,0.5268004509692396,0.5129521474541394
