run_id,dataset,embedding,model,fold,best_params,accuracy,f1_macro,f1_weighted
2026-08-17T20:48:56.754815,stratified_sample_full,paraphrase-MiniLM-L6-v2,lr,1,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1, 'solver': 'lbfgs'}",0.8072445798675776,0.7926225507275818,0.8097609120917726
2026-08-17T22:13:22.504106,stratified_sample_full,paraphrase-MiniLM-L6-v2,lr,2,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1, 'solver': 'lbfgs'}",0.8081280652172822,0.79352599871661,0.8107338907956013
2026-08-17T23:37:47.226555,stratified_sample_full,paraphrase-MiniLM-L6-v2,lr,3,"{'C': 100.0, 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1, 'solver': 'lbfgs'}",0.8048501337777533,0.7901658211609623,0.8075036790998014
2026-08-18T01:01:18.691095,stratified_sample_full,paraphrase-MiniLM-L6-v2,lr,4,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1, 'solver': 'lbfgs'}",0.8056482824743614,0.7908699091245714,0.808247413729683
2026-08-18T02:28:43.990091,stratified_sample_full,paraphrase-MiniLM-L6-v2,lr,5,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1, 'solver': 'saga'}",0.8053822329088253,0.7910512136520129,0.8081615948558998
